"symbol","security","sec_filings","gics_sector","gics_sub_industry","city","state","in_usa"
"CVS","CVS Health","reports","Consumer Staples","Drug Retail","Woonsocket","Rhode Island",1
"CVX","Chevron Corp.","reports","Energy","Integrated Oil & Gas","San Ramon","California",1
"CXO","Concho Resources","reports","Energy","Oil & Gas Exploration & Production","Midland","Texas",1
"D","Dominion Resources","reports","Utilities","Electric Utilities","Richmond","Virginia",1
"DAL","Delta Air Lines","reports","Industrials","Airlines","Atlanta","Georgia",1
"DD","Du Pont (E.I.)","reports","Materials","Diversified Chemicals","Wilmington","Delaware",1
"DE","Deere & Co.","reports","Industrials","Construction & Farm Machinery & Heavy Trucks","Moline","Illinois",1
"DFS","Discover Financial Services","reports","Financials","Consumer Finance","Riverwoods","Illinois",1
"DG","Dollar General","reports","Consumer Discretionary","General Merchandise Stores","Goodlettsville","Tennessee",1
"DGX","Quest Diagnostics","reports","Health Care","Health Care Facilities","Madison","New Jersey",1
"DHI","D. R. Horton","reports","Consumer Discretionary","Homebuilding","Fort Worth","Texas",1
"DHR","Danaher Corp.","reports","Industrials","Industrial Conglomerates","Washington","D.C.",0
"DIS","The Walt Disney Company","reports","Consumer Discretionary","Broadcasting & Cable TV","Burbank","California",1
"DISCA","Discovery Communications-A","reports","Consumer Discretionary","Cable & Satellite","Silver Spring","Maryland",1
"DISCK","Discovery Communications-C","reports","Consumer Discretionary","Cable & Satellite","Silver Spring","Maryland",1
"DLPH","Delphi Automotive","reports","Consumer Discretionary","Auto Parts & Equipment","Kent","United Kingdom",0
"DLR","Digital Realty Trust","reports","Real Estate","Specialized REITs","San Francisco","California",1
"DLTR","Dollar Tree","reports","Consumer Discretionary","General Merchandise Stores","Chesapeake","Virginia",1
"DNB","Dun & Bradstreet","reports","Industrials","Research & Consulting Services","Short Hills","New Jersey",1
"DOV","Dover Corp.","reports","Industrials","Industrial Machinery","Downers Grove","Illinois",1
"DOW","Dow Chemical","reports","Materials","Diversified Chemicals","Midland","Michigan",1
"DPS","Dr Pepper Snapple Group","reports","Consumer Staples","Soft Drinks","Plano","Texas",1
"DRI","Darden Restaurants","reports","Consumer Discretionary","Restaurants","Orlando","Florida",1
"DTE","DTE Energy Co.","reports","Utilities","MultiUtilities","Detroit","Michigan",1
"DUK","Duke Energy","reports","Utilities","Electric Utilities","Charlotte","North Carolina",1
"DVA","DaVita Inc.","reports","Health Care","Health Care Facilities","Denver","Colorado",1
"DVN","Devon Energy Corp.","reports","Energy","Oil & Gas Exploration & Production","Oklahoma City","Oklahoma",1
